Summary Information;LOC/File;Classes/File;Interfaces/File;Methods/File;Package Name;Class Name;Class Size;Methods/Class;Method Name;Method Size;;;;
Recomputation.java;60;1;0;5;zeta.tool;;;;;;;Recomputation;50;5
;;;;;;;;;main;17;;;;
;;;;;;;;;Constructor;3;;;;
;;;;;;;;;close;3;;;;
;;;;;;;;;recomp;13;;;;
;;;;;;;;;recomp;11;;;;
RemoveData.java;64;1;0;2;zeta.tool;;;;;;;RemoveData;55;2
;;;;;;;;;main;3;;;;
;;;;;;;;;remove;50;;;;
tool.dfPackage;9;4;0;0;id1v8d5zd3hrri76d3hrt7e2;;;;;;;diagram;2;0
;;;;;;__tags;2;0;;;;;;
;;;;;;__options;2;0;;;;;;
;;;;;;__positions;2;0;;;;;;
ZetaApprove.java;138;1;0;5;zeta.tool;;;;;;;ZetaApprove;123;5
;;;;;;;;;main;13;;;;
;;;;;;;;;Constructor;3;;;;
;;;;;;;;;close;3;;;;
;;;;;;;;;approve;80;;;;
;;;;;;;;;getDistance;21;;;;
ZetaCD.java;196;1;0;3;zeta.tool;;;;;;;ZetaCD;185;3
;;;;;;;;;main;3;;;;
;;;;;;;;;create;18;;;;
;;;;;;;;;createCD;159;;;;
ZetaCheckVersions.java;77;1;0;3;zeta.tool;;;;;;;ZetaCheckVersions;66;3
;;;;;;;;;main;12;;;;
;;;;;;;;;getZetaClientVersion;23;;;;
;;;;;;;;;getFileVersion;29;;;;
ZetaIndexHTML.java;357;1;0;2;zeta.tool;;;;;;;ZetaIndexHTML;329;2
;;;;;;;;;generate;311;;;;
;;;;;;;;;format;15;;;;
ZetaSearch.java;192;1;0;7;zeta.tool;;;;;;;ZetaSearch;181;7
;;;;;;;;;main;15;;;;
;;;;;;;;;split;35;;;;
;;;;;;;;;search;56;;;;
;;;;;;;;;getAnzahl;15;;;;
;;;;;;;;;searchText;35;;;;
;;;;;;;;;initIndexOf;11;;;;
;;;;;;;;;indexOf;12;;;;
ZetaSearchGaps.java;326;1;0;8;zeta.tool;;;;;;;ZetaSearchGaps;313;8
;;;;;;;;;main;51;;;;
;;;;;;;;;sumMissingLogs;21;;;;
;;;;;;;;;search;75;;;;
;;;;;;;;;search;133;;;;
;;;;;;;;;indexOf;3;;;;
;;;;;;;;;indexOf;9;;;;
;;;;;;;;;indexOf;3;;;;
;;;;;;;;;indexOf;16;;;;
ZetaStatistic.java;1122;1;0;24;zeta.tool;;;;;;;ZetaStatistic;1095;24
;;;;;;;;;main;30;;;;
;;;;;;;;;calc;89;;;;
;;;;;;;;;statistic;189;;;;
;;;;;;;;;checkLog;26;;;;
;;;;;;;;;updateData;162;;;;
;;;;;;;;;equalLines;16;;;;
;;;;;;;;;fastCheck;83;;;;
;;;;;;;;;check;56;;;;
;;;;;;;;;expandFileAndCheck;3;;;;
;;;;;;;;;expandFileAndCheck;229;;;;
;;;;;;;;;removeLastChar;34;;;;
;;;;;;;;;recomputation;27;;;;
;;;;;;;;;repairDot;9;;;;
;;;;;;;;;justDots;9;;;;
;;;;;;;;;Gram;3;;;;
;;;;;;;;;Gram;10;;;;
;;;;;;;;;getStartN;26;;;;
;;;;;;;;;zetaZerosExpand;14;;;;
;;;;;;;;;reduceFilesize2;3;;;;
;;;;;;;;;reduceFilesize2;11;;;;
